Inkname                  ,C,M,Y,K,R,G,B,InGamut,DeltaE,Lin,ain,bin,Lout,aout,bout
100,0,1,83,0,0,0,0,0,0.451,96.14,-5.98,67.22,95.65,-6.28,66.18
101,3,1,89,0,0,0,0,0,1.349,95.65,-6.19,75.3,94.1,-7.72,73.99
102,0,2,100,0,0,0,0,0,0.944,94.95,-5.91,95.06,94.11,-5.53,90.95
103,0,20,100,24,0,0,0,0,0.411,79.83,1.8,77.33,80.4,1.66,77.01
104,15,27,100,37,0,0,0,0,1.478,69.25,-1.02,66.36,71.11,-0.77,65.1
105,65,60,100,16,0,0,0,1,0.374,56.44,-3.08,43.58,56.82,-3.28,43.48
106,0,2,90,0,0,0,0,0,0.353,95.01,-5.21,76.93,94.49,-5.51,77
107,0,5,94,0,0,0,0,1,0.285,93.63,-3.54,81.89,93.52,-3.95,82.75
108,0,12,100,0,0,0,0,0,0.476,91.43,-0.04,90.41,91.34,-0.78,89.19
109,0,16,100,0,0,0,0,0,0.823,90.54,1.72,89.29,90.91,0.35,88.04
110,0,38,100,1,0,0,0,0,0.504,83.27,11.53,81.11,83.94,11.72,80.36
111,19,42,100,34,0,0,0,0,2.157,65.28,5.74,62.74,67.86,6.15,61.04
112,0,28,100,66,0,0,0,0,0.603,59.96,1.86,54.89,60.63,1.93,54.43
113,0,7,89,0,0,0,0,0,0.352,94.01,-2.82,72.85,93.45,-2.97,73.06
114,0,11,91,0,0,0,0,1,0.299,92.71,-1.35,76.73,92.29,-1.52,76.25
115,0,18,95,0,0,0,0,1,0.376,91.18,1.07,80.73,90.95,0.48,81.15
116,0,28,100,0,0,0,0,0,0.472,87.64,6.88,85.81,87.2,6.47,84.18
117,0,44,100,24,0,0,0,0,0.428,73.62,13.06,70.14,74.16,13.1,69.59
118,16,48,100,33,0,0,0,0,2.166,64.9,9.53,62.31,67.47,10.04,60.83
119,41,47,100,56,0,0,0,1,0.251,53.54,1.28,42.42,53.78,1.36,42.23
120,0,18,81,0,0,0,0,1,0.501,91.96,1.6,59.61,91.32,1.16,59.11
121,2,25,88,0,0,0,0,0,0.977,89.51,4.71,66.89,87.99,4.77,66.23
122,0,29,92,0,0,0,0,1,0.14,87.48,7.5,73.21,87.29,7.37,73.19
123,0,39,97,0,0,0,0,1,0.233,84.66,12.56,76.84,84.37,12.32,76.79
124,0,50,100,0,0,0,0,0,0.805,79.68,18.67,77.87,80.56,18.95,76.15
125,0,50,100,40,0,0,0,0,1.03,65.12,14.91,61.06,66.33,15.19,60.46
126,0,42,100,66,0,0,0,0,1.678,55.91,9.1,52.79,57.55,8.08,51.2
127,0,9,81,1,0,0,0,0,0.786,93.93,-1.69,59.97,92.73,-1.71,58.94
128,0,19,90,0,0,0,0,0,0.621,91.19,1.62,73.04,91.14,0.59,73.15
129,0,24,90,0,0,0,0,1,0.326,89.63,4.34,71.88,89.14,4.4,71.45
130,0,55,100,0,0,0,0,0,0.664,78.16,24.13,76.73,78.42,23.3,73.94
131,7,64,100,12,0,0,0,0,1.275,69.1,25.34,66.47,70.71,24.87,65.65
132,0,52,100,56,0,0,0,0,2,57.42,14.39,54.96,59.43,14.29,52.27
133,23,51,100,81,0,0,0,1,0.255,41.07,4.73,33.75,41.31,4.72,33.44
134,0,30,82,0,0,0,0,1,0.409,88.18,7.98,58.71,87.54,7.93,58.65
135,1,39,87,0,0,0,0,0,0.569,85.19,12.65,61.96,84.5,12.17,60.91
136,0,45,92,0,0,0,0,1,0.302,82.56,16.89,68.27,82.31,16.58,68.64
137,0,61,100,0,0,0,0,0,1.026,75.51,29,76.08,76.32,27.6,72.48
138,0,76,100,0,0,0,0,0,1.107,68.69,42.69,67.99,69.54,41.7,64.76
139,0,66,100,49,0,0,0,0,2.231,55.26,23.79,52.6,57.6,23.55,50.99
140,17,59,100,82,0,0,0,1,0.262,38.71,9.53,31.71,38.97,9.53,31.43
141,0,31,85,0,0,0,0,0,0.456,87.26,9.16,62.9,87.14,8.45,62.86
142,0,41,90,0,0,0,0,1,0.143,83.77,13.84,67.16,83.92,13.67,66.91
143,0,48,96,0,0,0,0,1,0.275,81.57,18.06,71.58,81.2,18.26,71.66
144,0,72,100,0,0,0,0,0,1.158,70.67,38.88,69.99,71.66,37.22,66.47
145,5,69,100,10,0,0,0,0,1.482,67.13,30.24,65.48,68.97,30.07,64.41
146,0,67,100,56,0,0,0,0,1.202,53.83,23.24,49.56,55.01,22.54,48.32
147,74,80,100,26,0,0,0,1,0.51,43.04,7.09,28.19,43.44,7.48,28.09
148,0,37,67,0,0,0,0,1,0.292,86.32,12.99,40.83,85.98,13.27,40.85
149,0,45,73,0,0,0,0,1,0.28,83.52,16.85,44.65,83.5,16.89,43.97
150,0,56,80,0,0,0,0,1,0.264,79.18,24.18,49.86,79.24,23.78,49.92
151,0,76,100,0,0,0,0,0,0.955,68.64,42.87,67.41,69.33,42.15,64.65
152,0,79,100,0,0,0,0,0,1.043,66.47,47.61,65.42,67.43,45.47,63.54
153,2,78,100,33,0,0,0,0,1.371,57.12,35.93,54.9,58.5,36.32,53.94
154,0,70,100,68,0,0,0,1,0.292,48.3,22.44,41.98,48.42,21.92,41.57
155,0,25,54,1,0,0,0,0,0.751,90.6,7.93,30.08,89.65,8.09,29.21
156,0,43,68,0,0,0,0,1,0.18,84.08,16.88,40.21,83.85,16.97,40.1
157,0,61,83,0,0,0,0,1,0.066,77.01,27.99,51.17,77.07,28.03,51.09
158,0,82,100,1,0,0,0,1,0.259,66.1,48.34,59.95,65.97,48.31,60.51
159,0,85,100,24,0,0,0,0,0.812,56.99,47.75,55.49,57.64,47.72,54.14
160,0,75,100,60,0,0,0,0,0.469,49.43,29.01,43.66,49.87,28.93,43.23
161,52,80,100,74,0,0,0,1,0.345,33.76,14.33,23.19,34.16,14.26,22.96
162,0,49,54,0,0,0,0,1,0.246,82.86,21.03,27.34,82.79,20.95,26.86
163,0,69,77,0,0,0,0,1,0.059,73.82,34.92,42.05,73.78,35.05,42.14
164,1,83,91,0,0,0,0,1,0.086,65.53,50.09,51.44,65.43,50.15,51.46
165,0,87,100,5,0,0,0,0,1.561,62.68,55.59,61.21,61.88,53.27,56.42
166,0,91,100,0,0,0,0,0,1.375,60.16,60.69,59.91,61.04,59.9,56.63
167,2,86,100,35,0,0,0,1,0.387,53.03,44.64,49.5,53.4,44.8,49.3
168,32,87,100,78,0,0,0,1,0.293,32.99,23.22,24.31,33.32,23.19,24.09
169,0,57,41,0,0,0,0,1,0.089,79.67,28.38,16.97,79.8,28.32,16.94
170,1,81,74,0,0,0,0,1,0.161,67.29,48.27,34.09,67.21,48.27,33.8
171,0,92,100,0,0,0,0,1,0.219,60.14,60.6,57.1,60.27,60.46,56.58
172,0,92,100,0,0,0,0,0,1.571,58.96,62.94,60.32,60.34,61.39,57.02
