customClient,Ink Name,C,M,Y,K,R,G,B,InGamut,DeltaE,Lin,ain,bin,Lout,aout,bout
G77C-14474,100,0,0,84,2,0,3,0,1,0.415,94.88,-8.1,68.71,94.47,-7.53,68.25
G77C-14474,101,0,0,87,2,1,0,0,0,1.019,95.08,-6.32,76.19,94.89,-5.86,71.82
G77C-14474,102,0,0,98,2,2,0,0,1,0.319,94.56,-6.09,95.1,94.08,-5.89,94.56
G77C-14474,103,0,0,99,36,23,0,0,1,0.075,78.07,0.93,82.62,77.97,0.98,82.65
G77C-14474,104,0,0,100,52,18,0,0,1,0.356,70.31,-2.03,74.31,70.71,-1.74,73.95
G77C-14474,105,0,0,82,70,18,0,0,1,0.181,59.36,-1.07,45.83,59.54,-1.12,45.58
G77C-14474,106,0,0,84,0,3,0,0,1,0.348,95.38,-4.79,68.88,94.85,-4.96,68.51
G77C-14474,107,0,0,90,0,9,0,0,1,0.528,93.18,-2.38,78.48,92.36,-2.21,77.85
G77C-14474,108,0,0,99,0,16,0,0,1,0.09,92.34,0.17,95.03,92.29,0.07,95.38
G77C-14474,109,0,0,98,0,32,0,0,1,0.143,89.99,6.61,95.07,90.01,6.38,95.34
G77C-14474,110,0,0,98,25,43,0,0,1,0.057,79.96,9.06,86.72,79.97,9.02,86.94
G77C-14474,111,0,0,100,52,39,13,0,1,0.066,65.94,0.94,71.32,65.88,1,71.43
G77C-14474,112,0,0,91,64,32,0,0,1,0.158,63.22,1.98,59.33,63.11,1.83,59.63
G77C-14474,113,0,0,80,0,9,0,0,1,0.466,94.25,-1.4,66.09,93.86,-2.06,66.27
G77C-14474,114,0,0,85,0,14,0,0,1,0.692,93,0.59,73.87,93.18,-0.55,73.47
G77C-14474,115,0,0,89,1,21,0,0,1,0.379,91.79,3.13,78.86,91.66,2.63,77.72
G77C-14474,116,0,0,98,1,36,0,0,1,0.211,89.3,8.45,93.66,89.09,8.15,93.36
G77C-14474,117,0,0,99,44,50,0,0,1,0.084,71.27,10.49,79.62,71.25,10.36,79.37
G77C-14474,118,0,0,97,59,42,0,0,1,0.034,64.52,5.51,68.04,64.51,5.49,68.16
G77C-14474,119,0,0,80,71,32,0,0,1,0.13,57.94,2.16,45.16,58.05,2.04,45.23
G77C-14474,120,0,0,72,0,16,0,0,1,0.329,93.72,1.68,59.2,93.22,1.49,59.06
G77C-14474,121,0,0,80,0,22,0,0,1,0.089,92.17,3.58,68.07,92.04,3.64,68.09
G77C-14474,122,0,0,86,0,32,0,0,1,0.306,90.92,7.28,76.38,90.5,7.01,76.19
G77C-14474,123,0,0,89,0,43,0,0,1,0.516,88.77,12.27,81.78,87.97,12.11,81.47
